"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-29","10.51",",,W","0.00","T,,W,2400","0.1",",,W","27","H,,S","28",",,W","21",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-30","10.07",",,W","0.01",",,W,2400","0.1",",,W","22","H,,S","37",",,W","15",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-01-31","15.66",",,W","0.03",",,W,2400","0.0",",,W","36","H,,S","39",",,W","35",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-01","12.30",",,W","0.00","T,,W,2400","0.0","T,,W","35","H,,S","38",",,W","21",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-02","13.42",",,W","0.00",",,W,2400","0.0",",,W","21","H,,S","24",",,W","14",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-03","10.51",",,W","0.00",",,W,2400","0.0",",,W","19","H,,S","28",",,W","14",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-04","12.53",",,W","0.00",",,W,2400","0.0",",,W","22","H,,S","33",",,W","10",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-05","8.72",",,W","0.00",",,W,2400","0.0",",,W","33","H,,S","38",",,W","24",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-06","6.93",",,W","0.00","T,,W,2400","0.0",",,W","33","H,,S","55",",,W","21",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-07","10.51",",,W","0.47",",,W,2400","0.0",",,W","44","H,,S","50",",,W","32",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-08","11.18",",,W","0.00",",,W,2400","0.0",",,W","31","H,,S","32",",,W","19",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-09","11.63",",,W","0.00",",,W,2400","0.0",",,W","19","H,,S","25",",,W","13",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-10","13.65",",,W","0.00",",,W,2400","0.0",",,W","26","H,,S","41",",,W","18",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-11","6.71",",,W","0.00",",,W,2400","0.0",",,W","41","H,,S","49",",,W","34",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-12","15.88",",,W","0.00","T,,W,2400","0.0",",,W","39","H,,S","47",",,W","31",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-13","10.29",",,W","0.00",",,W,2400","0.0",",,W","35","H,,S","44",",,W","25",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-14","14.09",",,W","0.00",",,W,2400","0.0",",,W","40","H,,S","50",",,W","31",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-15","11.18",",,W","0.00",",,W,2400","0.0",",,W","33","H,,S","35",",,W","26",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-16","8.95",",,W","0.00",",,W,2400","0.0",",,W","33","H,,S","41",",,W","30",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-17","8.05",",,W","0.00",",,W,2400","0.0",",,W","43","H,,S","67",",,W","27",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-18","6.93",",,W","0.00",",,W,2400","0.0",",,W","58","H,,S","70",",,W","40",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-19","3.80",",,W","0.00",",,W,2400","0.0",",,W","51","H,,S","69",",,W","35",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-20","12.30",",,W","0.00",",,W,2400","0.0",",,W","53","H,,S","70",",,W","41",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-21","6.49",",,W","0.04",",,W,2400","0.0",",,W","60","H,,S","66",",,W","49",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-22","11.86",",,W","0.00",",,W,2400","0.0",",,W","58","H,,S","68",",,W","50",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-23","12.53",",,W","0.21",",,W,2400","0.0",",,W","52","H,,S","59",",,W","38",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-24","12.53",",,W","0.15",",,W,2400","0.0",",,W","39","H,,S","40",",,W","33",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-25","13.87",",,W","0.00","T,,W,2400","0.0","T,,W","29","H,,S","33",",,W","23",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-02-26","13.87",",,W","0.00","T,,W,2400","0.0",",,W","32","H,,S","49",",,W","21",",,W"
